date,gmu,numcougars
9/23/2024,113,1
6/14/2024,454,1
6/18/2024,121,3
9/29/2024,437,1
8/18/2024,603,1
7/5/2024,454,1
7/27/2024,127,1
7/18/2024,454,1
7/13/2024,127,1
8/2/2024,407,1
8/4/2024,121,1
8/4/2024,652/454,1
8/8/2024,250,1
9/29/2024,437,1
8/13/2024,658,1
8/13/2024,658,1
8/14/2024,448,2
9/15/2024,124,1
8/16/2024,437,1
8/22/2024,648,1
8/14/2024,454,1
10/29/2024,672,2
9/29/2024,437,1
8/19/2024,133,1
9/8/2024,460,1
9/22/2024,448,1
9/22/2024,627,1
8/24/2024,121,1
8/28/2024,121,1
10/19/2024,407,1
9/2/2024,407,1
9/3/2024,101,1
9/8/2024,460,1
9/8/2024,460,1
9/8/2024,460,1
9/1/2024,460,1
9/14/2024,667,1
9/11/2024,162,1
9/15/2024,454,1
9/8/2024,460,1
9/8/2024,251,1
9/9/2024,454,1
9/10/2024,121,1
9/11/2024,437,1
9/14/2024,550,1
9/12/2024,560,4
9/15/2024,124,3
9/22/2024,627,1
10/21/2024,550,1
9/16/2024,418,1
9/26/2024,448,1
9/18/2024,124,1
9/29/2024,340,1
9/26/2024,407,1
9/24/2024,448,1
9/29/2024,578,1
10/4/2024,448,1
10/2/2024,250,1
9/30/2024,437,1
10/4/2024,454,1
10/5/2024,460,1
10/7/2024,382,1
10/12/2024,448,1
10/13/2024,382,2
10/8/2024,437,1
10/9/2024,578,1
10/8/2024,124,1
12/4/2024,335,2
10/10/2024,437,2
10/18/2024,382,1
10/17/2024,651,1
10/13/2024,448,1
10/14/2024,454,1
10/16/2024,454,3
10/27/2024,340,1
10/17/2024,407,1
10/18/2024,124,2
10/27/2024,250,1
10/27/2024,624,5
11/3/2024,250,1
12/7/2024,368,1
10/30/2024,624,1
11/3/2024,250,1
11/7/2024,328,1
11/7/2024,162,2
12/5/2024,454,1
11/12/2024,454/460,1
11/15/2024,388,1
11/15/2024,624,1
11/24/2024,454,1
11/24/2024,121,1
12/1/2024,550,1
12/1/2024,651,1
12/3/2024,516,1
12/5/2024,648,1
11/29/2024,651,1
12/2/2024,111,1
12/2/2024,638,1
12/2/2024,530,1
12/3/2024,633,1
12/3/2024,633,1
12/5/2024,336,1
12/9/2024,407,1
12/21/2024,651,1
12/27/2024,437,1
10/24/2024,382,1
8/9/2024,121,4
8/9/2024,624,1
8/6/2024,560,1
8/6/2024,242,1
8/4/2024,633,1
8/4/2024,368,1
8/4/2024,651,1
7/31/2024,578,1
7/28/2024,111,1
7/28/2024,111,2
7/27/2024,382,1
7/25/2024,460,1
7/22/2024,154,1
7/22/2024,633,2
7/16/2024,124,2
7/14/2024,121,1
7/14/2024,124,4
7/14/2024,382,1
7/11/2024,460,1
7/11/2024,460,1
7/11/2024,460,1
7/11/2024,460,1
7/11/2024,460,1
7/11/2024,564,1
7/8/2024,624,1
7/7/2024,124,1
