GMU_Num,value
437,19
578,12
651,16
407,16
368,3
454,38
648,4
336,7
335,5
516,9
633,6
111,7
638,1
530,3
550,5
121,24
388,10
624,5
328,2
162,6
250,7
672,2
340,9
382,11
124,27
448,20
460,30
113,4
627,4
418,7
667,2
560,2
251,3
101,3
133,2
658,8
242,3
652,3
127,6
154,2
564,4
204,5
364,2
603,5
621,11
117,7
334,1
666,3
636,3
108,1
266,2
175,1
574,2
490,1
231,1
556,1
505,2
642,1
166,2
510,3
568,2
513,2
663,2
615,1
503,1
233,1
178,1
356,1
554,0
157,0
572,0
186,0
172,0
169,0
504,0
373,0
181,0
681,0
520,0
699,0
163,0
506,0
149,0
684,0
372,0
145,0
379,0
673,0
381,0
360,0
501,0
142,0
371,0
342,0
352,0
660,0
654,0
278,0
290,0
346,0
655,0
653,0
330,0
329,0
139,0
466,0
284,0
485,0
422,0
269,0
618,0
249,0
254,0
130,0
136,0
272,0
262,0
247,0
612,0
260,0
245,0
607,0
246,0
248,0
421,0
243,0
602,0
239,0
601,0
420,0
244,0
450,0
416,0
414,0
419,0
415,0
412,0
417,0
413,0
224,0
411,0
410,0
218,0
203,0
426,0
215,0
209,0
105,0
423,0
424,0
522,0
524,0
